RSSI,SNR,Message Number,Longitude,Latitude,,,,
90,-1,38,-31.914278,115.948597,,,,
90,0,39,-31.914432,115.94879,,,,
90,-1,40,-31.914694,115.948744,,,,
90,0,44,-31.915626,115.947816,,,,
90,-3,47,-31.915644,115.947801,,,,
90,-6,66,-31.914925,115.946956,,,,
90,-2,68,-31.915105,115.947687,,,,
90,-5,76,-31.914203,115.948096,,,,
90,-2,78,-31.914078,115.947127,,,,
90,-1,130,-31.915304,115.944841,,,,
90,-11,132,-31.915237,115.944285,,,,
90,-2,169,-31.91394,115.94284,,,,
90,0,171,-31.913793,115.943938,,,,
90,0,172,-31.913678,115.944437,,,,
90,-2,173,-31.913657,115.944909,,,,
90,0,175,-31.913844,115.945892,,,,
90,0,178,-31.913894,115.946915,,,,
90,-1,187,-31.913144,115.947213,,,,
90,0,193,-31.913918,115.946277,,,,
90,0,195,-31.913692,115.945864,,,,
90,0,196,-31.913389,115.945941,,,,
90,-3,247,-31.910325,115.952876,,,,
90,-4,249,-31.910486,115.95388,,,,
90,0,253,-31.910527,115.954076,,,,
90,-1,259,-31.913004,115.953557,,,,
90,0,260,-31.913481,115.953446,,,,
90,-14,299,-31.91873,115.950864,,,,
90,-1,307,-31.915927,115.952663,,,,
90,0,308,-31.915774,115.95234,,,,
90,-1,309,-31.915577,115.951926,,,,
90,0,47,-31.908007,115.954174,,,,
90,0,48,-31.908482,115.954182,,,,
90,1,52,-31.910075,115.954153,,,,
90,1,78,-31.913668,115.956843,,,,
90,1,85,-31.915972,115.954257,,,,
90,-2,86,-31.916305,115.953987,,,,
90,0,108,-31.913111,115.95484,,,,
90,1,111,-31.911873,115.955128,,,,
90,3,114,-31.911365,115.955351,,,,
90,2,116,-31.911462,115.956097,,,,
90,1,132,-31.913906,115.956417,,,,
90,2,234,-31.909437,115.946932,,,,
90,0,235,-31.909451,115.946704,,,,
90,1,236,-31.909364,115.946276,,,,
90,0,238,-31.909127,115.945011,,,,
90,2,258,-31.90901,115.944338,,,,
90,2,259,-31.909103,115.94492,,,,
90,2,261,-31.909286,115.946052,,,,
90,1,262,-31.909366,115.946527,,,,
91,-2,33,-31.913083,115.948577,,,,
91,-4,37,-31.914206,115.948362,,,,
91,-5,41,-31.914973,115.948502,,,,
91,-4,42,-31.915241,115.948195,,,,
91,-2,43,-31.915483,115.947943,,,,
91,-5,45,-31.915644,115.947801,,,,
91,-6,48,-31.915644,115.947801,,,,
91,-2,49,-31.915644,115.947801,,,,
91,-3,51,-31.91576,115.94775,,,,
91,-4,54,-31.915456,115.947872,,,,
91,-6,55,-31.915293,115.947881,,,,
91,-4,56,-31.915135,115.947661,,,,
91,-9,57,-31.915041,115.947332,,,,
91,-8,58,-31.914962,115.946998,,,,
91,-7,59,-31.91493,115.946764,,,,
91,-12,60,-31.915058,115.946666,,,,
91,-3,61,-31.915188,115.946652,,,,
91,-7,63,-31.915103,115.946578,,,,
91,-5,67,-31.915001,115.947295,,,,
91,-6,77,-31.914141,115.94762,,,,
91,-7,79,-31.914003,115.946626,,,,
91,-8,80,-31.91392,115.94615,,,,
91,-9,81,-31.91391,115.945872,,,,
91,-8,82,-31.914135,115.945771,,,,
91,-13,84,-31.914544,115.945683,,,,
91,-8,113,-31.916262,115.942771,,,,
91,-18,115,-31.915864,115.943069,,,,
91,-17,117,-31.91541,115.Y4T982,,,,
91,-8,125,-31.915242,115.944278,,,,
91,-7,126,-31.915289,115.944626,,,,
91,-10,127,-31.915305,115.944915,,,,
91,-10,128,-31.915323,115.945049,,,,
91,-8,129,-31.915366,115.944993,,,,
91,-8,131,-31.915255,115.944611,,,,
91,-9,167,-31.913928,115.941899,,,,
91,-9,168,-31.913929,115.94232,,,,
91,-4,170,-31.913904,115.943395,,,,
91,0,250,-31.910509,115.954048,,,,
91,0,251,-31.910509,115.954048,,,,
91,-4,252,-31.910509,115.954048,,,,
91,-6,262,-31.914496,115.953215,,,,
91,-7,265,-31.915854,115.95292,,,,
91,-14,266,-31.916102,115.952765,,,,
91,-13,271,-31.917892,115.951495,,,,
91,-18,272,-31.918257,115.951236,,,,
91,-6,300,-31.918354,115.951138,,,,
91,-5,301,-31.918018,115.951376,,,,
91,-7,302,-31.917633,115.951646,,,,
91,-1,312,-31.915031,115.951752,,,,
91,-3,16,-31.909743,115.949059,,,,
91,0,23,-31.907961,115.949048,,,,
91,0,35,-31.906396,115.951281,,,,
91,0,46,-31.907544,115.95417,,,,
91,0,50,-31.909324,115.954172,,,,
91,-4,53,-31.910169,115.954321,,,,
91,0,54,-31.910171,115.954703,,,,
91,-1,69,-31.911846,115.959665,,,,
91,-1,77,-31.913468,115.957174,,,,
91,0,80,-31.914221,115.956036,,,,
91,0,89,-31.916224,115.953176,,,,
91,1,99,-31.914892,115.955097,,,,
91,0,100,-31.914605,115.955403,,,,
91,0,103,-31.914147,115.955442,,,,
91,0,105,-31.914024,115.954704,,,,
91,-10,136,-31.912887,115.957961,,,,
91,0,210,-31.906333,115.9528,,,,
91,0,215,-31.908216,115.952799,,,,
91,1,256,-31.908855,115.94333,,,,
91,1,257,-31.908924,115.943767,,,,
92,-9,46,-31.915644,115.947801,,,,
92,-7,64,-31.915006,115.946612,,,,
92,-8,65,-31.914915,115.946705,,,,
92,-17,83,-31.914496,115.945692,,,,
92,-14,85,-31.914612,115.945685,,,,
92,-16,86,-31.91483,115.945644,,,,
92,-14,87,-31.915156,115.945569,,,,
92,-17,88,-31.915415,115.94538,,,,
92,-13,112,-31.916557,115.94242,,,,
92,-17,116,-31.915659,115.942879,,,,
92,-14,120,-31.914901,115.94223,,,,
92,-17,121,-31.914948,115.942568,,,,
92,-17,123,-31.915095,115.94348,,,,
92,-13,124,-31.915167,115.943911,,,,
92,-13,164,-31.913758,115.940707,,,,
92,-16,165,-31.913899,115.94107,,,,
92,-6,248,-31.910413,115.953434,,,,
92,-4,261,-31.91398,115.953337,,,,
92,-10,263,-31.915013,115.95309,,,,
92,-7,264,-31.915478,115.952988,,,,
92,-8,268,-31.916725,115.952325,,,,
92,-10,269,-31.917113,115.952049,,,,
92,-9,270,-31.917492,115.951775,,,,
92,-14,273,-31.918509,115.951071,,,,
92,-16,274,-31.918802,115.950858,,,,
92,-17,275,-31.919152,115.950604,,,,
92,-18,295,-31.920365,115.949694,,,,
92,-14,298,-31.919134,115.950576,,,,
92,-9,303,-31.917206,115.951945,,,,
92,-8,304,-31.916756,115.95227,,,,
92,-1,22,-31.908486,115.949049,,,,
92,-4,24,-31.907421,115.949042,,,,
92,-9,25,-31.906934,115.949037,,,,
92,-9,28,-31.906439,115.949065,,,,
92,-9,29,-31.906412,115.949362,,,,
92,-5,30,-31.906411,115.949777,,,,
92,-5,36,-31.906395,115.951818,,,,
92,-6,40,-31.906385,115.953937,,,,
92,-9,42,-31.906384,115.954061,,,,
92,-4,44,-31.906748,115.954161,,,,
92,-3,45,-31.907119,115.954165,,,,
92,-3,49,-31.908929,115.954177,,,,
92,-11,60,-31.910113,115.958388,,,,
92,-13,62,-31.910106,115.959554,,,,
92,-7,66,-31.910855,115.959945,,,,
92,-6,68,-31.911618,115.959888,,,,
92,-1,81,-31.914509,115.95561,,,,
92,-4,82,-31.91481,115.955221,,,,
92,-4,84,-31.915567,115.954585,,,,
92,-8,87,-31.916465,115.953754,,,,
92,-4,88,-31.916369,115.953464,,,,
92,-7,92,-31.916257,115.953327,,,,
92,-3,93,-31.916385,115.953587,,,,
92,-2,94,-31.916372,115.95385,,,,
92,-3,95,-31.916147,115.95405,,,,
92,-2,96,-31.91587,115.954275,,,,
92,-4,98,-31.915225,115.954807,,,,
92,-2,117,-31.911534,115.956445,,,,
92,-2,119,-31.912102,115.956424,,,,
92,-3,120,-31.912501,115.956305,,,,
92,-8,133,-31.913658,115.956788,,,,
92,-8,134,-31.913387,115.957192,,,,
92,-6,135,-31.913094,115.95763,,,,
